id,locale,key,hash,translation
8e07428b-00e0-4c67-a278-f5dab3cda46e,cs,lab.wizard.menu,4b45d5240bffd93b7367c17b049960c09deae50f,Průvodci
8e3395fd-05c6-4cf4-827e-e4d68fea6e6f,cs,lab.atomizer.user.button.delete.confirm,d8023361fb24e1edeaf40ddc6bdf10b1f2b7538b,"Opravdu si přejete odstranit vybraný atomizér? Tato akce pouze odstraní záznam o jeho vlastnictví a přidružená data (např. výchozí náústek). Dále se přestane nabízet v různých seznamech. Tato akce je nezvratná, nikoli však destruktivní."
8e3dbc0c-881d-472f-bf6b-396e0eadfecc,cs,lab.mixture.button.all.list,63a11e5e071e69e277ca193f2fe26211cc6646cc,Všechny mixy
8e5b5ff3-a0e7-47dc-a969-04dfd0a2e7ae,cs,lab.wire.create.submit,726238599335eaf4f35fef2c7fdc7c863fb4e12e,Vytvořit drát
8e692280-d37f-4b89-915c-81608ca5e93b,cs,lab.atomizer.table.vendor,4ee1d4dcde5d38fa4711c823de041f997593973e,Výrobce
8ebb7a0d-ba6f-4184-8e98-eb32c924e3ae,cs,common.sign-out.tooltip,6d388f92fa5d19027001048bb17b2799707b495e,Odhlásit se
8f95e0dc-060b-41f1-ae95-586117345a55,cs,shared.file.column.path,2b23b6aedc49d5a10a9d96395bb9eddf4bc19cc0,Cesta
8fd61e5a-95b5-48c6-97c7-bfd2c032e0bd,cs,lab.setup.table.name,07032c463429289e7b183d45488d225a122350ff,Název
8febc643-fd73-4c7e-9621-23c94b0e3df1,cs,job-service.Edde\Image\ImageJobService,78a0124fd4ede7f4d2775df5b5774fe908ff48d0,Aktualizace obrázků
8fee9a65-dc3d-4881-a3d5-5e1f5061db88,cs,lab.mixture.index.label,3e161d03c3e42750a8446f695b04460055d658fa,Mix
8ff9b021-2ffc-42be-9514-c830be9f3c1c,cs,lab.cotton.title,479dfb494f089cccba96f96d73b31d7365fc63c1,Vaty
90220867-8975-4aa5-b168-18bcd33599bd,cs,lab.vape.deleted.success,c9fc6735e09290ad9a37147b79d51db9fc0ac18b,Vape byl úspěšně odstraněn.
903f4180-0ce8-416c-a4fe-effdf962d8f1,cs,root.file.upload.hint,6c930354dc3a2ba7dd3286a68b1d3a2f91058a05,Zde je možné nahrát libovolný soubor do systému.
906c637d-f1e4-474e-8c8b-6e041e4e87a8,cs,lab.build.index.preview.subtitle,1e32967eed2ed9321d8741685d5bf19da7bb2cb3,Zde můžete spravovat vybraný build.
90791215-53c6-4094-957f-817340635211,cs,lab.setup.list.title,3b800969b555f303d39f48a17ee74cd55e5da8b9,Seznam setupů
9085b950-f1c8-4dcb-ac8a-350777734d99,cs,lab.mixture.steep.done,4e54f78bdb36e74c062ab71bb0c6e22ce7179be1,Zrání dokončeno
9120a0f5-0c34-40fa-a4bb-1fd996106156,cs,lab.mod.name.label,5d1841d806fd37f9b509038cc5eff1767a078924,Název modu
91588de3-263d-4b0e-9528-62e1d1cc4f14,cs,lab.cotton.vendorId.label,fd7e4cef8b99a804b11b3e14f83d01eceed5bbc3,Výrobce
91685055-aabd-4073-be03-7979a99d7d8c,cs,lab.cell.preview.ohm,8c77bab38305cebb7a0b7f47101ac585172f7614,Minimální bezpečný odpor
92224c47-1610-49e1-876d-b2cbb61204d9,cs,lab.atomizer.button.edit,69f0717a95f6bffe8aa3824bf26e21f03375e4d9,Upravit atomizér
929480ce-f90f-4689-ab7b-936fc3f1af18,cs,lab.coil.tooltip.create,9f5c6519005a1b8583eb897e99fc45fa3c66c939,Vytvořit spirálku
92be3aee-571f-4943-96bf-9c0bc2c82b01,cs,root.upgrade.list.title,59aa0f1f8eeabf5d6bed57e3d508484be6d6fc76,Seznam aktualizací
92f6d00e-cb6b-4103-aeb2-5234f1a10e9c,cs,lab.vape.juice.label.required,b8ad720adae5de1dcae8e1b9cab0747b18f57359,Vyberte prosím nastavení juice flow.
9360e5c1-d5e2-4e4a-9df0-96c481f955d3,cs,lab.build.button.vape.create,dc6418d595d123e52fbcb5896d63cae9f8222125,Nový vape
937cffe0-41c5-4b55-9c0e-db83579f634b,cs,lab.cotton.create.title,ec48cd702459420f28aa6f87b3160ccd9f08edb0,Přidat vatu
939f62c0-88d9-40bf-9066-61fd028fb324,cs,lab.vape.leaks.0,c986ac37642f3219effcc5b001946affb20c9f4d,Žádné
9456239c-e45c-4846-a0bc-467949668d4b,cs,lab.build.cottonOffset.1,e7c69d3a6da5a5288e7508a1a942402fb2fc931e,Více
9466ad48-d4a5-41ec-9dc0-30c53a8c08a5,cs,lab.quick-puff.builds.subtitle,e58d48a52dcbac780044e7fd18b7cb266945058a,Nejnovější aktivní buildy
946d2d43-827e-4fc6-90e9-06e48b47fbb0,cs,lab.build.glow.label,0f9554997893681b8c568b55319e4e5f215a792c,Žhavení
94827812-8b0f-440d-8092-8f539545f356,cs,lab.liquid.create.subtitle,3e3da21c9426b99004598b4bf41a3eb58e9ea77f,Liquidy je možné použít pro míchání mixů k vapování.
948a32d9-18e7-4b7b-99e1-ca4f45c8f940,cs,lab.vape.tobacco.label,415d1b06a056da6a72f6535aa2b9e72db29fad71,Tabák
948fc097-8c0f-4137-8f53-8f2acef35d6b,cs,lab.mod.button.delete.confirm.title,5747e65fc2ad6f5ff2127642e7ce8a7a3bc3095c,Odstranit mod
94be2e2a-4ef6-492d-b609-ebc9f37fa0db,cs,lab.dual-coil.1,b0208f8f3fb8fcc9055a6b2641f279563308cd65,Sériové
94df6136-bb60-423c-a153-1ed478177adf,cs,lab.vape.plot.clouds.column,7bb78c1e5d12b0e103e803d31a7cbf5e7d1caf15,Mraky
953bea23-bcde-480a-9b66-4dcfd9ec8893,cs,root.upgrade.table.active.title,d4793450887621661753269c6e4b167f74f8544d,Instalováno
954d6d61-7fa0-476e-bf91-46bbf678ccbd,cs,lab.cell.voltage.label.tooltip,3c1dbaa25c298cf136a738bd0843ce46e7f48eeb,"Tuto hodnotu standardně není třeba měnit, pokud ovšem nemáte nějaký ultra zvláštní článek."
9574f8e3-47a1-4af2-aef5-c2387d286e93,cs,lab.mixture.active.label,f71a90c8eb7e5ede4a9983a7aa707651ae14c628,Aktivní
95951bfd-8afd-4548-a031-937b07cdf44e,cs,lab.cell.table.drain,6c876c2651e64cdb6071d0eda6c5e6036caa9988,Vybíjecí proud
9645db2e-64e4-432f-a1ac-794397531ff4,cs,lab.build.index.menu,e462cd0920a84019e92a51155e5922baba840330,Obecné
964abcbd-94f3-4ae0-8b6a-214e596594a3,cs,lab.liquid.image.upload.success,834235831f2e5e4a9ff5b37bfe831873b34981e5,Obrázek byl úspěšně nahrán.
967be9a5-7c89-446b-8b9b-24c5d885fb98,cs,lab.cotton.button.edit,2035badaf4c4778a0294f0d01a632b35b7a1afb7,Upravit vatu
9732bbef-4fad-45a4-8820-8652abb9fa11,cs,lab.build.coil.title,5485c612d8d0553796764c0fbbb3c10903ef6c6c,Spirálka
9784ac29-67e5-48d0-ba1e-c0e97a7a3ea2,cs,tag.dl,dafb0e35647766d494d0a61cb80afba99bcd6f4b,DL
9784b6a1-35fc-41a9-a003-b84237f39abd,cs,lab.comment.button.delete.confirm,9c9e9e47a860249fbda8f42d2686a198806e2b1e,Přejete si odstranit vybraný komentář?
9791129a-24a0-4f84-807a-98c7dbb5f60e,cs,lab.mod.deleted.success,60b5a4f29282fd5068eae3f2b9e17123d6227b8b,Mod [{{data.name}}] byl úspěšně odstraněn.
979cdf1e-8c54-4120-90f2-d314ed8ced81,cs,lab.cell.button.delete.confirm.title,240bb4b5aef8da53cd2a69f4c72d0bd2847d7c8b,Odstranit článek
97ea5b49-8614-4b73-a4ed-187431f4f101,cs,lab.atomizer.table.draw,1f7b983648ef05678f4e4a66ed038e634c26b79d,Typ potahu
97f5ea99-cbc4-4faa-ac70-6cccaeaf5e9c,cs,lab.build.table.atomizer,518f88d96bb32f8627f57ab2c836077c5a3204c7,Atomizér
9810a6de-921c-4ee4-8aa5-2a9d7f4651d0,cs,root.index.title,4862939937d13339611a9b6aab5fa72fd300a7dc,Administrace systému
